[00:00.000 --> 00:03.000]  Réseau d’agent Mandat
[01:28:15.000 --> 01:28:16.000]  Comment ça s'appelle ?
[01:28:16.000 --> 01:28:19.000]  Lors de Center Park, est-ce que vous avez parlé à Thierry ?
[01:28:19.000 --> 01:28:23.000]  Parce que c'est quelque chose que Thierry avait déjà réparé
[01:28:23.000 --> 01:28:25.000]  et je ne sais pas où ça en est.
[01:28:25.000 --> 01:28:27.000]  Là, il faudrait regarder.
[01:28:27.000 --> 01:28:30.000]  Si vous voulez, on peut noter pour regarder ça parce que Thierry l'avait réparé il y a quoi ?
[01:28:30.000 --> 01:28:32.000]  Il y a deux mois, un truc comme ça.
[01:28:32.000 --> 01:28:35.000]  Donc normalement, c'est supposé, ça devrait fonctionner.
[01:28:37.000 --> 01:28:39.000]  Je peux savoir, je peux regarder.
[01:28:39.000 --> 01:28:41.000]  C'était quoi la panoptimisation ?
[01:28:41.000 --> 01:28:43.000]  C'est simplement, il y en a un certain nombre d'entre vous,
[01:28:43.000 --> 01:28:45.000]  c'était le cas notamment avec Eric Lemaire de Narbonne
[01:28:45.000 --> 01:28:47.000]  qui nous avait montré que chez lui ça ne fonctionnait pas,
[01:28:47.000 --> 01:28:51.000]  ça tournait dans le vide et vos photos ne ressortaient pas optimisées.
[01:28:51.000 --> 01:28:56.000]  Je sais certain que ça marchait, chez les autres ça ne marchait pas et on ne savait pas trop pourquoi.
[01:29:00.000 --> 01:29:03.000]  Ce que je vous propose Sandrine, c'est envoyer ça par email à l'animation
[01:29:03.000 --> 01:29:06.000]  pour que demain ça puisse être transmis directement au bon endroit.
[01:29:07.000 --> 01:29:13.000]  Envoyer ça par email à l'animation, on est sûr de ne pas oublier.
[01:29:14.000 --> 01:29:17.000]  Attendez, je dois couper quelque chose parce que...
[01:29:23.000 --> 01:29:26.000]  Donc envoyez-nous un petit mail pour en parler.
[01:29:31.000 --> 01:29:35.000]  Voilà, on a eu un premier accord de prise en charge d'Agephis.
[01:29:35.000 --> 01:29:38.000]  Ah bah c'est bien, l'Agephis, Mathieu me dit ça,
[01:29:38.000 --> 01:29:45.000]  l'Agephis donne les accords de prise en charge pour les formations de Center Parks.
[01:29:45.000 --> 01:29:49.000]  C'est bien, la formation c'était il y a un mois, c'est maintenant qu'ils donnent les accords.
[01:29:49.000 --> 01:29:53.000]  Donc on a le premier accord, c'est positif, c'est une bonne nouvelle,
[01:29:53.000 --> 01:29:56.000]  mais normalement on devrait les avoir avant la formation.
[01:29:56.000 --> 01:29:58.000]  Ce n'est pas des rapilles.
[01:29:58.000 --> 01:30:00.000]  Est-ce que vous avez d'autres questions ? Ou est-ce qu'on a tout vu pour aujourd'hui ?
[01:30:00.000 --> 01:30:02.000]  J'ai dû faire des retours sur des photos plus longues,
[01:30:02.000 --> 01:30:04.000]  j'ai connu ce blog, je croyais qu'il y en avait un autre.
[01:30:04.000 --> 01:30:07.000]  C'est le même, c'est le même Véronique, c'est le même Mathieu.
[01:30:09.000 --> 01:30:10.000]  On a tout vu ?
[01:30:12.000 --> 01:30:16.000]  Si on a tout vu, je vais vous libérer un petit peu plus tôt ce soir, simplement.
[01:30:16.000 --> 01:30:20.000]  Est-ce qu'il y a d'autres choses notées dans mon petit fichier qu'on n'aurait pas étudié ?
[01:30:20.000 --> 01:30:27.000]  Donc vous le voyez quand même, au milieu de cette conjoncture assez morose,
[01:30:27.000 --> 01:30:33.000]  pas mal de bonnes nouvelles, ou on va dire de bonnes, de beaux espoirs,
[01:30:33.000 --> 01:30:40.000]  le programme de monter en gamme qui fonctionne très bien, adhérer à ce programme
[01:30:40.000 --> 01:30:45.000]  qui vous permet clairement de tirer votre épingle du jeu dans ce contexte de marché immobilier
[01:30:45.000 --> 01:30:48.000]  plutôt délétère qu'optimiste.
[01:30:48.000 --> 01:30:54.000]  Deuxième chose, une possible baisse des taux au début 2024.
[01:30:54.000 --> 01:30:58.000]  C'est la première fois qu'on en parle, et puis deux, trois, quatre, cinq articles,
[01:30:58.000 --> 01:31:02.000]  et puis les conseillers bancaires, les CGP, des Lodi, des José qui vont dans ce sens-là
[01:31:02.000 --> 01:31:09.000]  ont agréés en se dire, tiens, est-ce qu'il n'y a pas de l'optimisme à l'horizon pour après les fêtes ?
[01:31:09.000 --> 01:31:10.000]  Très bien.
[01:31:10.000 --> 01:31:18.000]  Le bon coin, des nouveaux services, on voit que vous êtes très clairement en pole position par rapport à vos concurrents.
[01:31:18.000 --> 01:31:21.000]  C'est également très positif, il faut que vous en parliez à vos clients.
[01:31:21.000 --> 01:31:30.000]  La chose que je vous dirais, le plus important, c'est rentrer des tonnes de mandats pour janvier,
[01:31:30.000 --> 01:31:34.000]  et dès janvier, il est encore temps de rentrer les mandats, on est le 21 décembre.
[01:31:34.000 --> 01:31:40.000]  On va vous dire, oh, les gens ne sont pas à la fin, ils n'ont pas la tête là-dedans.
[01:31:40.000 --> 01:31:43.000]  Non, ceux qui vendent leur maison, ils veulent la vendre.
[01:31:43.000 --> 01:31:46.000]  Ils ne se disent pas, c'est Noël, on verra plus tard, pas tous.
[01:31:46.000 --> 01:31:53.000]  Donc rentrez le maximum de mandats, et dès janvier également mettez le booster sur la rentrée du mandat.
[01:31:53.000 --> 01:31:59.000]  Le maximum de mandats, et puis bien sûr, adhérez au programme de montée en gamme.
[01:31:59.000 --> 01:32:02.000]  C'est super important.
[01:32:02.000 --> 01:32:04.000]  Est-ce que j'ai goûté du biscus ? Oui.
[01:32:04.000 --> 01:32:07.000]  Oui, oui, oui, quelle délice.
[01:32:07.000 --> 01:32:09.000]  Quelle délice.
[01:32:09.000 --> 01:32:10.000]  Merci beaucoup.
[01:32:10.000 --> 01:32:14.000]  C'est Sandrine qui m'a offert très gentiment de la petitsames, une très belle place d'ailleurs aussi,
[01:32:14.000 --> 01:32:22.000]  lors du séminaire de Center Parks, une petitsame très bonne pour la santé, en particulier pour ma santé.
[01:32:22.000 --> 01:32:24.000]  Donc oui, je l'ai goûté, c'est délicieux.
[01:32:24.000 --> 01:32:28.000]  Je suis très tétisane, j'aime beaucoup.
[01:32:28.000 --> 01:32:30.000]  Je suis très client.
[01:32:30.000 --> 01:32:33.000]  Donc oui, merci beaucoup, beaucoup, beaucoup, beaucoup.
[01:32:39.000 --> 01:32:41.000]  Delphine Bruchon a été oubliée ?
[01:32:41.000 --> 01:32:48.000]  Mais non, Delphine, j'ai vu sa fiche il n'y a pas longtemps d'ailleurs, on va aller la regarder ensemble si vous voulez.
[01:32:52.000 --> 01:32:56.000]  Véronique, elle n'a pas été oubliée du tout, j'ai vu sa fiche il y a quelques jours.
[01:32:56.000 --> 01:32:59.000]  Regardez, ça c'est la gestion des candidats à la lucarne.
[01:32:59.000 --> 01:33:02.000]  J'en vois tous les jours, j'adore aussi.
[01:33:02.000 --> 01:33:08.000]  Delphine Bruchon, alors là, vous voyez, c'est tous les candidats en ce moment qui ont envoyé une demande de candidature à la lucarne.
[01:33:08.000 --> 01:33:12.000]  D'ailleurs, à sujet, on va en parler avec Julien bientôt également, avec Guillaume et avec Mikaël.
[01:33:12.000 --> 01:33:16.000]  On va en parler très très très rapidement.
[01:33:16.000 --> 01:33:25.000]  Et si je recherche Delphine, j'ai raté mon bruchon.
[01:33:25.000 --> 01:33:27.000]  Voilà, elle est là.
[01:33:27.000 --> 01:33:31.000]  Et il va essayer de la recontacter.
[01:33:31.000 --> 01:33:37.000]  Vous voyez ici, Varis-Ti dans son secteur d'activité.
[01:33:37.000 --> 01:33:43.000]  Ensuite Véronique a relancé sa candidature et elle a été recontactée après le 7 décembre.
[01:33:43.000 --> 01:33:47.000]  Donc je peux essayer de voir éventuellement pour qu'on la recontacte de l'autre côté.
[01:33:47.000 --> 01:33:55.000]  Bonne soirée, bonne fin d'année, c'est gentil d'accepter l'invitation du 3 janvier à la Véronique.
[01:33:55.000 --> 01:33:59.000]  Je viens avec grand plaisir, avec beaucoup beaucoup beaucoup de plaisir.
[01:33:59.000 --> 01:34:01.000]  Merci pour votre temps, vos réponses.
[01:34:01.000 --> 01:34:05.000]  Ça fait plaisir d'être dans un réseau qui nous prend en charge et nous aide à apprendre un nouveau métier avec sérieux et efficacité géable,
[01:34:05.000 --> 01:34:08.000]  de faire plus de webinaires et de mettre en pratique les éléments enseignés.
[01:34:08.000 --> 01:34:10.000]  Bien écoutez, bienvenue à vous, Majed.
[01:34:10.000 --> 01:34:12.000]  Vous avez un excellent état d'esprit, c'est chouette.
[01:34:12.000 --> 01:34:19.000]  Bravo et on va tous bien vous accueillir et bien nous occuper de vous.
[01:34:19.000 --> 01:34:20.000]  Soyez tranquille.
[01:34:20.000 --> 01:34:24.000]  Merci à toutes, merci à tous d'avoir été là ce soir pour cette visioconférence.
[01:34:24.000 --> 01:34:28.000]  Je vous souhaite d'excellentes fêtes de fin d'année, en particulier joyeux Noël.
[01:34:28.000 --> 01:34:30.000]  C'est évident, c'est dans quelques jours.
[01:34:30.000 --> 01:34:34.000]  Même pour ceux qui ne fêtent pas Noël, joyeux Noël quand même.
[01:34:34.000 --> 01:34:38.000]  Ce n'est pas quelque chose de vilain.
[01:34:39.000 --> 01:34:45.000]  Excellente fête à tous, joyeux Noël, bonne année si on ne se reparle pas d'ici là.
[01:34:45.000 --> 01:34:50.000]  Bien entendu, rentrez le maximum de mandats, c'est hyper important.
[01:34:50.000 --> 01:35:00.000]  Et on se revoit tous très vite, juste après les fêtes de toute manière pour une vision du jeudi.
[01:35:00.000 --> 01:35:03.000]  Merci à toi, bonne fête de fin d'année à toi et à ton chien.
[01:35:03.000 --> 01:35:06.000]  Ah oui, mon chien aussi bien sûr, ça c'est sûr.
[01:35:07.000 --> 01:35:11.000]  Joyeux Noël à tous, bonne fête de fin d'année à tous et à toutes.
[01:35:11.000 --> 01:35:14.000]  J'espère que Mathieu sera avec vous, ainsi que Michel.
[01:35:14.000 --> 01:35:18.000]  Mathieu, je suis quasi sûr Mathieu, Michel beaucoup moins.
[01:35:18.000 --> 01:35:20.000]  Merci à tous, merci à toutes.
[01:35:20.000 --> 01:35:23.000]  Bonne fête, à très très très bientôt.
[01:35:23.000 --> 01:35:26.000]  Pensez à moi pour mes questions sur la TVA.
[01:35:26.000 --> 01:35:29.000]  Oui, bien sûr, mais on peut s'appeler demain si vous voulez Sandrine.
[01:35:29.000 --> 01:35:32.000]  Demain on peut s'appeler, faites savoir à l'animation si c'est ok pour vous.
[01:35:32.000 --> 01:35:35.000]  Merci à tous, merci à toutes et au revoir.
[01:35:36.000 --> 01:35:40.000]  Bonne fête, ma rupture conventionnelle de CDI a été refusée pour 23 ans d'ancienneté.
[01:35:40.000 --> 01:35:44.000]  Rien d'étonnant et mon patron, il manque la suite Véronique.
[01:35:47.000 --> 01:35:49.000]  Si vous voulez Véronique, on peut en parler.
[01:35:49.000 --> 01:35:50.000]  Vous ne voulez pas me lâcher ?
[01:35:50.000 --> 01:35:52.000]  Mais oui, mais qui voudrait vous lâcher Véronique ?
[01:35:52.000 --> 01:35:54.000]  Moi je ne veux pas vous lâcher non plus.
[01:35:54.000 --> 01:35:55.000]  Vous ne voulez pas non plus ?
[01:35:55.000 --> 01:35:56.000]  Car il aime mon travail.
[01:35:56.000 --> 01:35:59.000]  Mais moi je n'ai pas envie de vous lâcher non plus Véronique.
[01:35:59.000 --> 01:36:02.000]  Maintenant vous êtes ici, vous y restez.
[01:36:02.000 --> 01:36:05.000]  Mais ce ne quitterait pas la lucarne, moi j'espère bien.
[01:36:05.000 --> 01:36:07.000]  Allez, merci à tous, merci à toutes.
[01:36:07.000 --> 01:36:10.000]  Excellente soirée et à très très très bientôt.
